ID,CPS,CPS.2009,IL.original,IL.2009,,,,
226,MONROE,MONROE,Monroe Elem School,Monroe Elem School,,,,
227,MOOS,MOOS,Moos Elem School,Moos Elem School,,,,
228,MORRILL,MORRILL,Morrill Elem Math & Sci School,Morrill Elem Math & Sci School,,,,
229,MORTON,MORTON,Morton Elem Career Academy,Morton Elem Career Academy,,,,
230,MOUNT GREENWOOD,MOUNT GREENWOOD,Mount Greenwood Elem School,Mount Greenwood Elem School,,,,
231,MOUNT VERNON,MOUNT VERNON,Mount Vernon Elem School,Mount Vernon Elem School,,,,
232,MOZART,MOZART,Mozart Elem School,Mozart Elem School,,,,
233,MURPHY,MURPHY,Murphy Elem School,Murphy Elem School,,,,
234,NASH,NASH,Nash Elem School,Nash Elem School,,,,
235,NATIONAL TEACHERS,NATIONAL TEACHERS ACADEM,National Teachers Elem Academy,National Teachers Elem Academy,,,,
236,NEIL,NEIL,Neil Elem School,Neil Elem School,,,,
237,NETTELHORST,NETTELHORST,Nettelhorst Elem School,Nettelhorst Elem School,,,,
238,NEW FIELD,NEW FIELD,New Field Elem School,New Field Elem School,,,,
239,NEW SULLIVAN,SULLIVAN SPECIALTY,Sullivan Elem School,Sullivan Elem School,,,,
240,NICHOLSON TECH ACAD,NICHOLSON,Nicholson Technology Acad Elem Sch,Nicholson Elem Math & Science,,,,
241,NIGHTINGALE,NIGHTINGALE,Nightingale Elem School,Nightingale Elem School,,,,
242,NIXON,NIXON,Nixon Elem School,Nixon Elem School,,,,
243,NOBEL,NOBEL,Nobel Elem School,Nobel Elem School,,,,
244,NORWOOD PARK,NORWOOD PARK,Norwood Park Elem School,Norwood Park Elem School,,,,
245,OGDEN,OGDEN,Ogden Elem School,Ogden Elem School,,,,
246,OGLESBY,OGLESBY,Oglesby Elem School,Oglesby Elem School,,,,
247,O'KEEFFE,OKEEFFE,OKeeffe Elem School,Okeeffe Elem School,,,,
248,ONAHAN,ONAHAN,Onahan Elem School,Onahan Elem School,,,,
249,ORIOLE PARK,ORIOLE PARK,Oriole Park Elem School,Oriole Park Elem School,,,,
250,ORTIZ DE DOMINGUEZ,ORTIZ DE DOMINGUEZ,Ortiz De Dominguez Elem School,Ortiz De Dominguez Elem School,,,,
251,OTIS,OTIS,Otis Elem School,Otis Elem School,,,,
252,O'TOOLE,O'TOOLE,OToole Elem School,Otoole Elem School,,,,
253,OWENS,OWENS,Owen Elem Scholastic Academy,Owen Elem Scholastic Academy,,,,
254,PALMER,PALMER,Palmer Elem School,Palmer Elem School,,,,
255,PARK MANOR,PARK MANOR,Park Manor Elem School,Park Manor Elem School,,,,
256,PARKER,PARKER,Parker Elem Community Academy,Parker Elem Community Academy,,,,
257,PARKSIDE,PARKSIDE COMM ACAD,Parkside Elem Community Academy,Parkside Elem Community Academy,,,,
258,PASTEUR,PASTEUR,Pasteur Elem School,Pasteur Elem School,,,,
259,PECK,PECK,Peck Elem School,Peck Elem School,,,,
260,PEIRCE,PEIRCE,Peirce Elem Intl Studies School,Peirce Elem Intl Studies School,,,,
261,PENN,PENN,Penn Elem School,Penn Elem School,,,,
262,PEREZ,PEREZ,Perez Elem School,Perez Elem School,,,,
263,PERSHING,PERSHING EAST,Pershing Elem Humanities Magnet,Pershing Elem Humanities Magnet,,,,
264,PETERSON,PETERSON,Peterson Elem School,Peterson Elem School,,,,
265,PICCOLO,PICCOLO,Piccolo Elem Specialty School,Piccolo Elem Specialty School,,,,
266,PICKARD,PICKARD,Pickard Elem School,Pickard Elem School,,,,
267,PILSEN,PILSEN,Pilsen Elem Community Academy,Pilsen Elem Community Academy,,,,
268,PIRIE,PIRIE,Pirie Elem Fine Arts & Academic C,Pirie Elem Fine Arts & Academic C,,,,
269,PLAMONDON,PLAMONDON,Plamondon Elem School,Plamondon Elem School,,,,
270,PORTAGE PARK,PORTAGE PARK,Portage Park Elem School,Portage Park Elem School,,,,
271,POWELL,POWELL,Powell Elem Paideia Comm Academy,Powell Elem Paideia Comm Academy,,,,
272,PRESCOTT,PRESCOTT,Prescott Elem School,Prescott Elem School,,,,
273,PRIETO,PRIETO,Prieto Math-Science Elem Sch,Prieto Math-Science Elem Sch,,,,
274,PRITZKER,PRITZKER,Pritzker Elem School,Pritzker Elem School,,,,
275,PRUSSING,PRUSSING,Prussing Elem School,Prussing Elem School,,,,
276,PULASKI,PULASKI COMM ACAD,Pulaski Intl Sch of Chicago,Pulaski Elem Fine Arts Academy,,,,
277,PULLMAN,PULLMAN G,Pullman Elem School,Pullman Elem School,,,,
278,RANDOLPH,RANDOLPH,Randolph Elem School,Randolph Elem School,,,,
279,RAVENSWOOD,RAVENSWOOD,Ravenswood Elem School,Ravenswood Elem School,,,,
280,RAY,RAY,Ray Elem School,Ray Elem School,,,,
281,REAVIS,REAVIS,Reavis Elem Math & Sci Spec Schl,Reavis Elem Math & Sci Spec Schl,,,,
282,REILLY,REILLY,Reilly Elem School,Reilly Elem School,,,,
283,REINBERG,REINBERG,Reinberg Elem School,Reinberg Elem School,,,,
284,REVERE,REVERE,Revere Elem School,Revere Elem School,,,,
285,ROBINSON,ROBINSON,Robinson Elem School,Robinson Elem School,,,,
286,ROGERS,ROGERS,Rogers Elem School,Rogers Elem School,,,,
287,RUGGLES,RUGGLES,Ruggles Elem School,Ruggles Elem School,,,,
288,RUIZ,RUIZ,Ruiz Elem School,Ruiz Elem School,,,,
289,RYDER,RYDER,Ryder Elem Math & Sci Spec School,Ryder Elem Math & Sci Spec School,,,,
290,SADLOWSKI,SADLOWSKI,,,,,,
291,SANDOVAL,SANDOVAL SCHOOL,Sandoval Elem School,Sandoval Elem School,,,,
292,SAUGANASH,SAUGANASH,Sauganash Elem School,Sauganash Elem School,,,,
293,SAWYER,SAWYER,Sawyer Elem School,Sawyer Elem School,,,,
294,SAYRE,SAYRE,Sayre Elem Language Academy,Sayre Elem Language Academy,,,,
295,SCAMMON,SCAMMON,Scammon Elem School,Scammon Elem School,,,,
296,SCHMID,SCHMID,Schmid Elem School,Schmid Elem School,,,,
297,SCHUBERT,SCHUBERT,Schubert Elem School,Schubert Elem School,,,,
298,SEWARD,SEWARD,Seward Elem Communication Arts Ac,Seward Elem Communication Arts Ac,,,,
299,SHERMAN,SHERMAN,Sherman Elem School,Sherman Elem School,,,,
300,SHERWOOD,SHERWOOD,Sherwood Elem School,Sherwood Elem School,,,,
301,SHIELDS,SHIELDS,Shields Elem School,Shields Elem School,,,,
302,SHOESMITH,SHOESMITH,Shoesmith Elem School,Shoesmith Elem School,,,,
303,SHOOP,SHOOP,Shoop Math-Sci Tech Elem Academy,Shoop Math-Sci Tech Elem Academy,,,,
304,SKINNER,SKINNER,Skinner Elem School,Skinner Elem School,,,,
305,SMITH,SMITH,Smith W Elem School,Smith W Elem School,,,,
306,SMYSER,SMYSER,Smyser Elem School,Smyser Elem School,,,,
307,SMYTH,SMYTH,Smyth J Elem School,"Smyth, J Elem School",,,,
308,SOLOMON,NEW SOLOMON,Solomon Elem School,Solomon Elem School,,,,
309,SOUTH LOOP,SOUTH LOOP,South Loop Elem School,South Loop Elem School,,,,
310,SPENCER TECH ACAD,SPENCER,Spencer Technology Acad Elem Sch,Spencer Elem Math & Sci Academy,,,,
311,SPRY,SPRY,Spry Elem Community School,Spry Elem Community School,,,,
312,STAGG,STAGG,Stagg Elem School,Stagg Elem School,,,,
313,STEVENSON,STEVENSON,Stevenson Elem School,Stevenson Elem School,,,,
314,STOWE,STOWE,Stowe Elem School,Stowe Elem School,,,,
315,SUMNER,SUMNER,Sumner Elem Math & Sci Comm Acad,Sumner Elem Math & Sci Comm Acad,,,,
316,SUTHERLAND,SUTHERLAND,Sutherland Elem School,Sutherland Elem School,,,,
317,SWIFT,SWIFT,Swift Elem Specialty School,Swift Elem Specialty School,,,,
318,TALCOTT,TALCOTT,Talcott Elem School,Talcott Elem School,,,,
319,TANNER,TANNER,Tanner Elem School,Tanner Elem School,,,,
320,TARKINGTON,TARKINGTON,Tarkington Elem School,Tarkington Elem School,,,,
321,TAYLOR,TAYLOR,Taylor Elem School,Taylor Elem School,,,,
322,TELPOCHCALLI,TELPOCHCALLI,Telpochcalli Elem School,Telpochcalli Elem School,,,,
323,"THORP, J",THORP J N,Thorp J N Elem School,Thorp J N Elem School,,,,
324,TILL,TILL,Till Elem Math & Science Academy,Till Elem Math & Science Academy,,,,
325,TILTON,TILTON,Tilton Elem School,Tilton Elem School,,,,
326,TONTI,TONTI,Tonti Elem School,Tonti Elem School,,,,
327,TWAIN,TWAIN,Twain Elem School,Twain Elem School,,,,
328,VOLTA,VOLTA,Volta Elem School,Volta Elem School,,,,
329,VON LINNE,LINNE,Linne Elem School,Linne Elem School,,,,
330,WACKER,WACKER,Wacker Elem School,Wacker Elem School,,,,
331,WADSWORTH,WADSWORTH,Wadsworth Elem School,Wadsworth Elem School,,,,
332,WALSH,WALSH,Walsh Elem School,Walsh Elem School,,,,
333,"WARD, J",WARD,Ward J Elem School,"Ward, J Elem School",,,,
334,"WARD, L",WARD LAURA,Ward L Elem School,"Ward, L Elem School",,,,
335,WARREN,WARREN,Warren Elem School,Warren Elem School,,,,
336,"WASHINGTON, G",WASHINGTON G,Washington G Elem School,"Washington, G Elem School",,,,
337,"WASHINGTON, H",WASHINGTON H,Washington H Elem School,"Washington, H Elem School",,,,
338,WATERS,WATERS,Waters Elem School,Waters Elem School,,,,
339,WEBSTER,WEBSTER,Webster Elem School,Webster Elem School,,,,
340,"WELLS, I","WELLS, I",Wells Preparatory Elem Academy,Wells Preparatory Elem Academy,,,,
341,WENTWORTH,WENTWORTH,Wentworth Elem School,Wentworth Elem School,,,,
342,WEST PARK,WEST PARK,West Park Elem Academy,West Park Elem Academy,,,,
