ID,CPS,IL.original
253,OWENS,Owen Elem Scholastic Academy
254,PALMER,Palmer Elem School
255,PARK MANOR,Park Manor Elem School
256,PARKER,Parker Elem Community Academy
257,PARKSIDE,Parkside Elem Community Academy
258,PASTEUR,Pasteur Elem School
259,PECK,Peck Elem School
260,PEIRCE,Peirce Elem Intl Studies School
261,PENN,Penn Elem School
262,PEREZ,Perez Elem School
263,PERSHING,Pershing Elem Humanities Magnet
264,PETERSON,Peterson Elem School
265,PICCOLO,Piccolo Elem Specialty School
266,PICKARD,Pickard Elem School
267,PILSEN,Pilsen Elem Community Academy
268,PIRIE,Pirie Elem Fine Arts & Academic C
269,PLAMONDON,Plamondon Elem School
270,PORTAGE PARK,Portage Park Elem School
271,POWELL,Powell Elem Paideia Comm Academy
272,PRESCOTT,Prescott Elem School
273,PRIETO,Prieto Math-Science Elem Sch
274,PRITZKER,Pritzker Elem School
275,PRUSSING,Prussing Elem School
276,PULASKI,Pulaski Intl Sch of Chicago
277,PULLMAN,Pullman Elem School
278,RANDOLPH,Randolph Elem School
279,RAVENSWOOD,Ravenswood Elem School
280,RAY,Ray Elem School
281,REAVIS,Reavis Elem Math & Sci Spec Schl
282,REILLY,Reilly Elem School
283,REINBERG,Reinberg Elem School
284,REVERE,Revere Elem School
285,ROBINSON,Robinson Elem School
286,ROGERS,Rogers Elem School
287,RUGGLES,Ruggles Elem School
288,RUIZ,Ruiz Elem School
289,RYDER,Ryder Elem Math & Sci Spec School
290,SADLOWSKI,
291,SANDOVAL,Sandoval Elem School
292,SAUGANASH,Sauganash Elem School
293,SAWYER,Sawyer Elem School
294,SAYRE,Sayre Elem Language Academy
295,SCAMMON,Scammon Elem School
296,SCHMID,Schmid Elem School
297,SCHUBERT,Schubert Elem School
298,SEWARD,Seward Elem Communication Arts Ac
299,SHERMAN,Sherman Elem School
300,SHERWOOD,Sherwood Elem School
301,SHIELDS,Shields Elem School
302,SHOESMITH,Shoesmith Elem School
303,SHOOP,Shoop Math-Sci Tech Elem Academy
304,SKINNER,Skinner Elem School
305,SMITH,Smith  W Elem School
306,SMYSER,Smyser Elem School
307,SMYTH,Smyth  J Elem School
308,SOLOMON,Solomon Elem School
309,SOUTH LOOP,South Loop Elem School
310,SPENCER TECH ACAD,Spencer Technology Acad Elem Sch
311,SPRY,Spry Elem Community School
312,STAGG,Stagg Elem School
313,STEVENSON,Stevenson Elem School
314,STOWE,Stowe Elem School
315,SUMNER,Sumner Elem Math & Sci Comm Acad
316,SUTHERLAND,Sutherland Elem School
317,SWIFT,Swift Elem Specialty School
318,TALCOTT,Talcott Elem School
319,TANNER,Tanner Elem School
320,TARKINGTON,Tarkington Elem School
321,TAYLOR,Taylor Elem School
322,TELPOCHCALLI,Telpochcalli Elem School
323,"THORP, J",Thorp  J N Elem School
324,TILL,Till Elem Math & Science Academy
325,TILTON,Tilton Elem School
326,TONTI,Tonti Elem School
327,TWAIN,Twain Elem School
328,VOLTA,Volta Elem School
329,VON LINNE,Linne Elem School
330,WACKER,Wacker Elem School
331,WADSWORTH,Wadsworth Elem School
332,WALSH,Walsh Elem School
333,"WARD, J",Ward  J Elem School
334,"WARD, L",Ward  L Elem School
335,WARREN,Warren Elem School
336,"WASHINGTON, G",Washington  G Elem School
337,"WASHINGTON, H",Washington  H Elem School
338,WATERS,Waters Elem School
339,WEBSTER,Webster Elem School
340,"WELLS, I",Wells Preparatory Elem Academy
341,WENTWORTH,Wentworth Elem School
342,WEST PARK,West Park Elem Academy
343,WEST RIDGE,West Ridge Elem School
344,WESTCOTT,Westcott Elem School
345,WHISTLER,Whistler Elem School
346,WHITE,White Elem Career Academy
347,WHITNEY,Whitney Elem School
348,WHITTIER,Whittier Elem School
349,WILDWOOD,Wildwood Elem School
350,WOODSON,Woodson South Elem School
351,YATES,Yates Elem School
352,YOUNG,Young Elem School
353,ZAPATA,Zapata Elem Academy
,,Sheridan Elem Math & Science Acad
,,Shields Middle School
,,Evergreen Academy Elem School
,,Field Elem School
,,Franklin Elem Fine Arts Center
,,Frazier Perspectives Magnet ES
,,Galileo Elem Math & Sci Schol Acd
,,Gary Elem School
,,Gunsaulus Elem Scholastic Academy
,,Hawthorne Elem Scholastic Academy
,,Hernandez Middle School
,,Hope Learning Academy
,,Inter-American Elem Magnet School
,,Jackson A Elem Language Acad
,,Keller Elem Gifted Magnet School
,,Kellman Corporate Community Elem
,,Kershaw Elem School
,,King Academy of Social Justice
,,LaSalle Elem Language Academy
,,LaSalle II Lang Acad Elem Sch
,,Lenart Elem Regional Gifted Ctr
,,Madero Middle School
,,Marine Leadership Academy - Ames
,,McDade Elem Classical School
,,Murray Elem Language Academy
,,Newberry Elem Math & Science Acad
,,North River Elem School
,,Northwest Middle School
,,Orozco Elem Fine Arts & Sciences
,,Owens Community Academy ES
,,Plato Learning Acad  Elem School
,,Poe Elem Classical School
,,Richardson Middle School
,,Sabin Elem Magnet School
,,Salazar Elem Bilingual Center
,,Saucedo Elem Scholastic Academy
,,Skinner North Elem Sch
,,South Shore Fine Arts Elem Sch
,,Southeast Area Elementary School
,,STEM Magnet Academy Elem
,,Stone Elem Scholastic Academy
,,Suder Montessori Elem Magnet Schl
,,Talman Elem School
,,Thorp  O A Elem Scholastic Acad
,,Turner-Drew Elem Language Academy
,,Vanderpoel Elem Magnet School
,,Woodlawn Elem Community School
,,Albany Park Multicultural Elem
,,Ariel Elem Community Academy
,,Ashburn Community Elem School
,,Beasley Elem Magnet Academic Ctr
,,Belmont-Cragin Elem School
,,Black Magnet Elem School
,,Brown  W Elem School
,,Burnside Elem Scholastic Academy
,,Charles J Sahs Elem School
,,Chicago Academy Elem School
,,Christopher Elem School
,,Claremont Academy Elem School
,,Davis M Magnet Elem School
,,Decatur Classical Elem School
,,Disney Elem Magnet School
,,Disney II Elem School
,,Drummond Elem School
,,Edison Elem Regional Gifted Cntr
,,Ericson Elem Scholastic Academy
