"","Name","City","Type","ID","Grade3.ELA.Level1","Grade3.ELA.Level2","Grade3.ELA.Level3","Grade3.ELA.Level4","Grade3.Math.Level1","Grade3.Math.Level2","Grade3.Math.Level3","Grade3.Math.Level4","Grade4.ELA.Level1","Grade4.ELA.Level2","Grade4.ELA.Level3","Grade4.ELA.Level4","Grade4.Math.Level1","Grade4.Math.Level2","Grade4.Math.Level3","Grade4.Math.Level4","Grade5.ELA.Level1","Grade5.ELA.Level2","Grade5.ELA.Level3","Grade5.ELA.Level4","Grade5.Math.Level1","Grade5.Math.Level2","Grade5.Math.Level3","Grade5.Math.Level4"
"195","Lewis Elem School","Chicago","ELEMENTARY","150162990252311",15.2,45.7,35.2,3.8,21.9,38.1,34.3,5.7,2.5,53.2,43,1.3,3.8,44.3,51.9,0,1.8,52.6,40.4,5.3,1.8,43.9,50.9,3.5
"196","Libby Elem School","Chicago","ELEMENTARY","150162990252313",10.5,43.4,39.5,6.6,22.4,21.1,46.1,10.5,15.2,45.7,39.1,0,8.7,50,41.3,0,2,69.4,26.5,2,2,53.1,44.9,0
"197","Lincoln Elem School","Chicago","ELEMENTARY","150162990252314",0,0,31.2,68.8,0,0,21.3,78.8,1.3,9,21.8,67.9,0,2.6,34.6,62.8,0,3.9,27.6,68.4,0,6.5,58.4,35.1
"198","Linne Elem School","Chicago","ELEMENTARY","150162990252315",8.6,36.2,46.6,8.6,8.2,19.7,52.5,19.7,0,37.5,41.7,20.8,1.4,19.2,61.6,17.8,0,47.5,32.5,20,0,27.9,67.4,4.7
"199","Lloyd Elem School","Chicago","ELEMENTARY","150162990252316",7.4,36.7,47.9,8,4.1,14.4,49.5,32,2.4,44.4,43.2,10.1,1.7,17.8,68.3,12.2,0,44,42.7,13.3,0,14.1,76.3,9.6
"200","Locke, J Elem School","Chicago","ELEMENTARY","150162990252317",6.3,36.1,45.8,11.8,2.7,20.5,60.3,16.4,0.8,36.2,51.2,11.8,1.5,13.7,70.2,14.5,0,43.3,49.6,7.1,0.8,21.9,75,2.3
"201","Lovett Elem School","Chicago","ELEMENTARY","150162990252319",11.5,49.2,29.5,9.8,14.8,39.3,39.3,6.6,7.1,51.4,30,11.4,7.1,32.9,58.6,1.4,4.5,34.1,54.5,6.8,2.3,31.8,61.4,4.5
"202","Lowell Elem School","Chicago","ELEMENTARY","150162990252321",13.3,36,41.3,9.3,10.5,27.6,50,11.8,13,51.9,31.5,3.7,3.6,35.7,53.6,7.1,1.4,55.7,38.6,4.3,1.4,46.4,52.2,0
"203","Lawrence Elem School","Chicago","ELEMENTARY","150162990252322",9.3,39.5,44.2,7,4.7,14,62.8,18.6,6.4,55.3,36.2,2.1,8.5,42.6,46.8,2.1,0,57.5,42.5,0,0,55,45,0
"204","Lyon Elem School","Chicago","ELEMENTARY","150162990252323",2.9,32.4,36,28.7,3.7,18.4,53.7,24.3,3.5,27.5,47.9,21.1,0.7,12.7,60.6,26.1,0,9.7,54,36.3,0,4.4,58.4,37.2
"205","Madison Elem School","Chicago","ELEMENTARY","150162990252324",14,56.1,22.8,7,12.3,33.3,42.1,12.3,2.6,55.3,36.8,5.3,7.7,33.3,56.4,2.6,2.5,52.5,37.5,7.5,7.5,37.5,50,5
"206","Manierre Elem School","Chicago","ELEMENTARY","150162990252326",11.5,50.8,34.4,3.3,11.5,27.9,49.2,11.5,0,38.5,56.4,5.1,0,28.2,61.5,10.3,1.6,59,36.1,3.3,3.3,39.3,52.5,4.9
"207","Mann Elem School","Chicago","ELEMENTARY","150162990252328",6.8,55.4,35.1,2.7,6.8,28.4,56.8,8.1,2.8,45.1,45.1,7,11.4,20,64.3,4.3,0,40.7,50,9.3,1.9,42.6,53.7,1.9
"208","Marconi Elem Community Academy","Chicago","ELEMENTARY","150162990252329",14.7,32.4,47.1,5.9,5.9,14.7,61.8,17.6,7.1,50,32.1,10.7,3.6,32.1,57.1,7.1,0,57.1,35.7,7.1,0,46.4,53.6,0
"209","Marquette Elem School","Chicago","ELEMENTARY","150162990252330",15.3,42.9,39.4,2.4,8.2,24.6,48,19.3,2,51.7,44.4,2,1.3,28.9,65.8,3.9,0,60.4,32.9,6.7,0,50.6,47.6,1.8
"210","Marsh Elem School","Chicago","ELEMENTARY","150162990252331",8.8,36.3,42.5,12.5,6.3,18.8,40,35,1.3,32.1,53.8,12.8,0,13.8,73.8,12.5,0,30.6,45.9,23.5,0,18.6,65.1,16.3
"211","Mason Elem School","Chicago","ELEMENTARY","150162990252334",18,31.1,37.7,13.1,13.3,23.3,40,23.3,4.4,20,62.2,13.3,2.2,13.3,75.6,8.9,2,46.9,36.7,14.3,0,53.1,44.9,2
"212","May Elem Community Academy","Chicago","ELEMENTARY","150162990252336",6.8,23,67.6,2.7,17.6,18.9,58.1,5.4,1.9,51.9,38.5,7.7,7.7,34.6,50,7.7,3.2,73,15.9,7.9,0,65.1,34.9,0
"213","Mayer Elem School","Chicago","ELEMENTARY","150162990252337",4.5,34.1,52.3,9.1,0,15.9,54.5,29.5,5,32.5,50,12.5,2.5,20,60,17.5,4,42,34,20,0,32,56,12
"214","Mayo Elem School","Chicago","ELEMENTARY","150162990252338",10,30,46,14,8,12,58,22,7.9,47.6,31.7,12.7,4.8,23.8,65.1,6.3,2,56.9,35.3,5.9,0,41.2,58.8,0
"215","McClellan Elem School","Chicago","ELEMENTARY","150162990252339",15,30,50,5,0,25,45,30,4.2,45.8,25,25,0,12.5,66.7,20.8,0,33.3,44.4,22.2,0,18.5,81.5,0
"216","McCorkle Elem School","Chicago","ELEMENTARY","150162990252340",16.1,51.6,29,3.2,9.7,48.4,35.5,6.5,9.4,43.8,40.6,6.3,3.1,25,71.9,0,4.8,38.1,52.4,4.8,0,47.6,52.4,0
"217","McCormick Elem School","Chicago","ELEMENTARY","150162990252341",7.7,53.8,36.2,2.3,0.8,30.5,53.4,15.3,1.7,46.1,47.8,4.3,0,13.6,74.6,11.9,1.8,61.9,31,5.3,0,37.7,57,5.3
"218","McCutcheon Elem School","Chicago","ELEMENTARY","150162990252344",6.7,43.3,40,10,13.3,13.3,50,23.3,2.4,36.6,46.3,14.6,0,17.1,68.3,14.6,3.3,50,36.7,10,0,31,58.6,10.3
"219","McDade Elem Classical School","Chicago","ELEMENTARY","150162990252345",0,0,22.2,77.8,0,0,18.5,81.5,0,3.6,28.6,67.9,0,0,39.3,60.7,0,0,28,72,0,8,52,40
"220","McKay Elem School","Chicago","ELEMENTARY","150162990252346",10.3,33,53.6,3.1,9.3,20.6,58.8,11.3,2.8,65.1,31.1,0.9,8.6,40,50.5,1,3.1,60.2,32.7,4.1,3.1,44.9,51,1
"221","McPherson Elem School","Chicago","ELEMENTARY","150162990252349",8,42,40,10,8,24,46,22,3.4,23.7,50.8,22,0,13.6,71.2,15.3,0,30.4,60.9,8.7,0,19.1,78.7,2.1
"222","Medill Elem School","Chicago","ELEMENTARY","150162990252350",5,60,30,5,10,10,80,0,0,33.3,66.7,0,0,16.7,83.3,0,7.1,57.1,21.4,14.3,0,28.6,64.3,7.1
"223","Melody Elem School","Chicago","ELEMENTARY","150162990252352",13.2,43.4,35.8,7.5,13.5,26.9,48.1,11.5,5,52.5,40,2.5,7.5,32.5,60,0,2.1,68.8,25,4.2,0,51.1,48.9,0
"224","Mitchell Elem School","Chicago","ELEMENTARY","150162990252353",0,13.9,44.4,41.7,0,2.8,38.9,58.3,0,39.1,39.1,21.7,0,4.3,87,8.7,0,39.3,46.4,14.3,0,25,71.4,3.6
"225","Mollison Elem School","Chicago","ELEMENTARY","150162990252354",10.5,31.6,44.7,13.2,18.4,21.1,39.5,21.1,10.7,35.7,50,3.6,3.6,25,67.9,3.6,0,58.3,38.9,2.8,0,62.9,37.1,0
"226","Monroe Elem School","Chicago","ELEMENTARY","150162990252355",15.6,42.6,32.6,9.2,15.4,18.9,48.3,17.5,2.5,36.1,47.5,13.9,3.2,18.5,66.1,12.1,0.9,37,51.9,10.2,0.9,27.8,70.4,0.9
"227","Moos Elem School","Chicago","ELEMENTARY","150162990252356",9.8,49.2,36.1,4.9,6.6,26.2,47.5,19.7,4.2,62.5,25,8.3,2.1,18.8,62.5,16.7,4.1,55.1,36.7,4.1,0,28.8,59.6,11.5
"228","Morrill Elem Math & Sci School","Chicago","ELEMENTARY","150162990252357",16.5,37.1,40.2,6.2,9.4,36.5,44.8,9.4,6.1,50,41.5,2.4,7.4,48.1,37,7.4,2.2,48.4,43,6.5,0,37.2,58.5,4.3
"229","Inter-American Elem Magnet School","Chicago","ELEMENTARY","150162990252358",10.4,38.8,37.3,13.4,1.4,18.3,47.9,32.4,0,17.9,55.2,26.9,0,6,62.7,31.3,0,31.7,46,22.2,1.6,16.4,75.4,6.6
"230","Mount Greenwood Elem School","Chicago","ELEMENTARY","150162990252361",1.3,14.1,52.6,32.1,1.3,2.6,48.7,47.4,0,13.4,52.2,34.3,0,3,68.7,28.4,0,17.5,54.4,28.1,0,10.5,84.2,5.3
"231","Mount Vernon Elem School","Chicago","ELEMENTARY","150162990252362",10.7,35.7,46.4,7.1,11.1,22.2,63,3.7,10,50,35,5,15,37.5,45,2.5,0,63.6,36.4,0,0,59.1,40.9,0
"232","Mozart Elem School","Chicago","ELEMENTARY","150162990252363",9.6,47.1,36.5,6.7,6.6,20.8,64.2,8.5,1.9,38.3,52.3,7.5,0.9,16.8,76.6,5.6,2,35.3,52.9,9.8,1,26.2,67,5.8
"233","Murphy Elem School","Chicago","ELEMENTARY","150162990252365",4.5,34.3,41.8,19.4,6,10.4,56.7,26.9,4.4,26.5,55.9,13.2,4.5,10.4,70.1,14.9,1.2,35.4,45.1,18.3,0,19.3,72.3,8.4
"234","Murray Elem Language Academy","Chicago","ELEMENTARY","150162990252366",0,9.4,48.4,42.2,0,1.6,28.1,70.3,0,17.2,35.9,46.9,0,7.7,49.2,43.1,0,17.5,38.1,44.4,0,20.6,52.4,27
"235","Brown, R Elem Community Acad","Chicago","ELEMENTARY","150162990252367",5.7,34.3,45.7,14.3,8.6,8.6,65.7,17.1,2.6,34.2,47.4,15.8,0,26.3,71.1,2.6,0,47.2,47.2,5.6,0,27.8,69.4,2.8
"236","Nash Elem School","Chicago","ELEMENTARY","150162990252368",11.3,30.6,45.2,12.9,11.3,25.8,41.9,21,3.6,30.4,60.7,5.4,3.6,28.6,66.1,1.8,2.1,62.5,31.3,4.2,2.1,52.1,45.8,0
"237","Neil Elem School","Chicago","ELEMENTARY","150162990252369",5.7,31.4,42.9,20,2.9,20,54.3,22.9,2.9,45.7,40,11.4,2.9,37.1,54.3,5.7,0,46.2,46.2,7.7,0,23.1,74.4,2.6
"238","Nettelhorst Elem School","Chicago","ELEMENTARY","150162990252370",0,14.8,41,44.3,3.3,6.6,34.4,55.7,2.3,13.6,43.2,40.9,2.3,9.1,61.4,27.3,2.6,21.1,57.9,18.4,0,23.7,73.7,2.6
"239","Newberry Elem Math & Science Acad","Chicago","ELEMENTARY","150162990252371",3.2,14.5,46.8,35.5,1.6,4.8,41.9,51.6,3.4,23.7,35.6,37.3,3.3,16.7,43.3,36.7,0,18,50.8,31.1,1.6,14.8,67.2,16.4
"240","Carver Elementary School","Chicago","ELEMENTARY","150162990252372",9.5,23.8,45.2,21.4,0,14.3,45.2,40.5,2.4,34.1,53.7,9.8,4.9,14.6,68.3,12.2,3.7,27.8,50,18.5,0,27.8,63,9.3
"241","Nightingale Elem School","Chicago","ELEMENTARY","150162990252373",8.6,38.8,42.8,9.9,4.5,14.7,52.6,28.2,3.1,45.4,46.9,4.6,0.8,21.5,73.1,4.6,0.8,44.1,42.4,12.7,0,28.7,68,3.3
"242","Nixon Elem School","Chicago","ELEMENTARY","150162990252374",11.1,35.7,45.2,7.9,3.9,20.5,52,23.6,2.4,46,45.2,6.5,2.4,26,57.5,14.2,0.9,50,43.9,5.3,0,33.9,65.2,0.9
"243","Nobel Elem School","Chicago","ELEMENTARY","150162990252375",17.4,48.6,28.4,5.5,8.1,37.8,47.7,6.3,7.8,54.7,37.5,0,4.5,28.8,56.1,10.6,1.4,52.1,39.4,7,1.4,39.7,58.9,0
"244","Norwood Park Elem School","Chicago","ELEMENTARY","150162990252376",0,7.7,43.6,48.7,2.6,0,33.3,64.1,0,2.9,38.2,58.8,0,0,26.5,73.5,0,8.6,48.6,42.9,0,2.9,57.1,40
"245","Ogden Elem School","Chicago","ELEMENTARY","150162990252380",4.2,11.1,50,34.7,2.8,5.6,38.9,52.8,1.8,12.5,41.1,44.6,0,7.1,53.6,39.3,0,18.3,36.7,45,0,16.7,56.7,26.7
"246","Oglesby Elem School","Chicago","ELEMENTARY","150162990252381",10.9,51.6,32.8,4.7,12.7,31.7,52.4,3.2,2.1,50,37.5,10.4,12.5,35.4,50,2.1,2,67.3,26.5,4.1,2,61.2,34.7,2
"247","Okeeffe Elem School","Chicago","ELEMENTARY","150162990252382",9.3,54.7,28,8,14.7,30.7,45.3,9.3,3.8,63.8,30,2.5,7.4,51.9,40.7,0,1.7,51.7,38.3,8.3,0,55,45,0
"248","Onahan Elem School","Chicago","ELEMENTARY","150162990252383",2.9,12.9,52.9,31.4,2.9,7.1,41.4,48.6,1.6,17.5,63.5,17.5,1.6,15.6,67.2,15.6,1.5,13.8,56.9,27.7,0,10.6,72.7,16.7
"249","Oriole Park Elem School","Chicago","ELEMENTARY","150162990252384",0,3.2,46.8,50,0,3.2,16.1,80.6,0,0,34.9,65.1,0,0,27,73,0,5.6,31,63.4,0,1.4,33.8,64.8
"250","Piccolo Elem Specialty School","Chicago","ELEMENTARY","150162990252385",15.6,42.2,42.2,0,16.9,22.5,50.6,10.1,1.3,39.5,55.3,3.9,2.6,26,66.2,5.2,2.4,67.9,28.6,1.2,3.5,64.7,31.8,0
"251","Otis Elem School","Chicago","ELEMENTARY","150162990252386",9.1,9.1,59.1,22.7,8,4,60,28,0,23.7,63.2,13.2,2.6,13.2,81.6,2.6,0,47.4,47.4,5.3,2.6,17.9,79.5,0
"252","Otoole Elem School","Chicago","ELEMENTARY","150162990252387",14.1,40,41.2,4.7,22.6,26.2,40.5,10.7,2.5,65.4,29.6,2.5,3.8,42.5,51.3,2.5,0,58.2,36.7,5.1,1.3,48.7,46.2,3.8
"253","Overton Elem School","Chicago","ELEMENTARY","150162990252388",12.5,54.2,31.3,2.1,20.8,37.5,35.4,6.3,0,50,50,0,5.9,35.3,55.9,2.9,0,62.5,37.5,0,4,56,40,0
"254","Owen Elem Scholastic Academy","Chicago","ELEMENTARY","150162990252389",0,11.1,63,25.9,0,3.7,48.1,48.1,3.4,13.8,58.6,24.1,0,6.9,79.3,13.8,0,18.5,51.9,29.6,0,25.9,70.4,3.7
"255","Paderewski Elem Learning Academy","Chicago","ELEMENTARY","150162990252390",11.1,33.3,55.6,0,16.7,38.9,44.4,0,0,47.1,47.1,5.9,0,33.3,61.1,5.6,0,60,33.3,6.7,6.7,40,53.3,0
"256","Palmer Elem School","Chicago","ELEMENTARY","150162990252391",2.7,25,57.1,15.2,1.8,10.5,52.6,35.1,5.1,35.7,39.8,19.4,4,24,57,15,0.9,36.8,37.7,24.5,0,25,63.9,11.1
"257","Parker Elem Community Academy","Chicago","ELEMENTARY","150162990252392",16.2,48.6,32.4,2.7,32,28,30.7,9.3,3.2,50.8,42.9,3.2,1.6,34.9,61.9,1.6,3.3,65,25,6.7,1.7,61.7,36.7,0
"258","Parkman Elem School","Chicago","ELEMENTARY","150162990252393",0,56.3,37.5,6.3,6.3,37.5,50,6.3,7.7,61.5,30.8,0,7.7,53.8,38.5,0,8.3,79.2,12.5,0,0,70.8,29.2,0
"259","Park Manor Elem School","Chicago","ELEMENTARY","150162990252394",10.5,34.2,39.5,15.8,7.9,31.6,47.4,13.2,8.1,54.1,37.8,0,2.7,54.1,40.5,2.7,0,43.3,46.7,10,0,56.7,43.3,0
"260","Parkside Elem Community Academy","Chicago","ELEMENTARY","150162990252395",17.5,57.5,25,0,12.8,35.9,51.3,0,2.9,54.3,42.9,0,0,42.9,57.1,0,0,59.1,38.6,2.3,0,59.1,40.9,0
"261","Pasteur Elem School","Chicago","ELEMENTARY","150162990252396",6.4,46.2,41.5,5.8,3.4,22.5,50.6,23.6,3.8,29.9,53.5,12.7,1.3,20.1,69.2,9.4,1.3,44.3,44.3,10.1,0.7,28.9,61.8,8.6
"262","Peabody Elem School","Chicago","ELEMENTARY","150162990252397",10,45,40,5,0,31.6,68.4,0,0,59.3,33.3,7.4,10.7,35.7,50,3.6,0,29.2,54.2,16.7,0,29.2,70.8,0
"263","Peck Elem School","Chicago","ELEMENTARY","150162990252398",3.7,36.2,50.9,9.2,3.1,15.3,58.9,22.7,2.6,45.5,44.2,7.7,1.9,24.4,66.7,7.1,1.9,44,42.8,11.3,0,36.3,61.3,2.5
"264","Peirce Elem Intl Studies School","Chicago","ELEMENTARY","150162990252399",11.5,35.4,34.4,18.8,6.3,20,43.2,30.5,0,22.2,56.8,21,2.5,9.9,67.9,19.8,0,27,47.2,25.8,0,11.2,76.4,12.4
"265","Penn Elem School","Chicago","ELEMENTARY","150162990252400",13,52.2,34.8,0,28.3,30.4,39.1,2.2,5.9,64.7,26.5,2.9,14.7,35.3,44.1,5.9,0,65.4,26.9,7.7,7.7,53.8,38.5,0
"266","Washington, H Elem School","Chicago","ELEMENTARY","150162990252401",1.4,45.8,38.9,13.9,2.8,27.8,50,19.4,1.5,47,34.8,16.7,0,24.2,71.2,4.5,0,51.9,44.2,3.9,1.3,41,57.7,0
"267","Pershing Elem Humanities Magnet","Chicago","ELEMENTARY","150162990252402",1.7,10.2,44.1,44.1,3.4,10.2,40.7,45.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Peterson Elem School","Chicago","ELEMENTARY","150162990252403",5.3,22.3,39.4,33,3.1,13.3,26.5,57.1,0,32.5,44.6,22.9,0,11.8,62.4,25.9,1.1,31.5,43.5,23.9,2.1,16.5,62.9,18.6
"269","Pickard Elem School","Chicago","ELEMENTARY","150162990252404",11.8,35.5,46.1,6.6,10.4,23.4,46.8,19.5,4.4,44.1,36.8,14.7,1.5,30.9,55.9,11.8,0,70.7,22.4,6.9,1.7,37.9,60.3,0
"270","Pirie Elem Fine Arts & Academic C","Chicago","ELEMENTARY","150162990252405",11.4,21.6,50,17,12.4,14.6,55.1,18,2,28.6,51,18.4,3.9,21.6,66.7,7.8,1.5,35.3,47.1,16.2,1.5,33.8,64.7,0
"271","Plamondon Elem School","Chicago","ELEMENTARY","150162990252406",9.7,22.6,61.3,6.5,6.5,12.9,48.4,32.3,0,26.3,63.2,10.5,0,10.5,84.2,5.3,0,47.4,47.4,5.3,0,35,65,0
"272","Pope Elem School","Chicago","ELEMENTARY","150162990252408",9.1,54.5,31.8,4.5,31.8,4.5,50,13.6,4.2,45.8,33.3,16.7,4.2,20.8,58.3,16.7,0,60.9,30.4,8.7,0,47.8,47.8,4.3
"273","Portage Park Elem School","Chicago","ELEMENTARY","150162990252409",9.3,25,50.9,14.8,2.7,15.5,55.5,26.4,0,24.5,49.1,26.4,1.9,12.4,61,24.8,0.9,31.6,50,17.5,0.9,16.5,73.9,8.7
"274","Prescott Elem School","Chicago","ELEMENTARY","150162990252410",14.3,21.4,57.1,7.1,0,42.9,57.1,0,5,45,40,10,5,30,50,15,0,36.8,63.2,0,0,36.8,57.9,5.3
"275","Price Lit & Writing Elem School","Chicago","ELEMENTARY","150162990252411",NA,NA,NA,NA,NA,NA,NA,NA,2.8,58.3,38.9,0,11.1,41.7,47.2,0,2.3,68.2,18.2,11.4,2.3,52.3,45.5,0
"276","Prussing Elem School","Chicago","ELEMENTARY","150162990252412",6.3,3.2,55.6,34.9,1.5,4.5,34.3,59.7,0,17.4,54.7,27.9,1.1,9,61.8,28.1,0,25,47.2,27.8,1.3,13.9,75.9,8.9
"277","Pulaski Elem Fine Arts Academy","Chicago","ELEMENTARY","150162990252413",11.4,38,43,7.6,3.8,21.5,55.7,19,1.5,36.8,45.6,16.2,2.9,26.5,54.4,16.2,0,37.8,51.2,11,0,29.3,67.1,3.7
"278","Pullman Elem School","Chicago","ELEMENTARY","150162990252414",3.2,25.8,38.7,32.3,12.5,21.9,46.9,18.8,6.1,30.3,18.2,45.5,3,27.3,36.4,33.3,0,52.9,32.4,14.7,0,45.5,54.5,0
"279","Ravenswood Elem School","Chicago","ELEMENTARY","150162990252416",13.9,27.8,50,8.3,16.7,25,47.2,11.1,0,48.7,35.9,15.4,5.1,38.5,53.8,2.6,0,42.1,42.1,15.8,0,47.4,47.4,5.3
"280","Ray Elem School","Chicago","ELEMENTARY","150162990252417",2.2,21.3,50.6,25.8,1.1,10.3,40.2,48.3,0,11.4,53.2,35.4,0,8.9,64.6,26.6,2.8,23.9,43.7,29.6,0,19.7,59.2,21.1
"281","Reavis Elem Math & Sci Spec Schl","Chicago","ELEMENTARY","150162990252419",11.8,26.5,52.9,8.8,11.8,29.4,47.1,11.8,9.3,60.5,30.2,0,9.3,41.9,44.2,4.7,0,59,38.5,2.6,5.1,51.3,41,2.6
"282","Reed Elem School","Chicago","ELEMENTARY","150162990252420",24.4,51.1,20,4.4,24.4,35.6,33.3,6.7,6.3,62.5,28.1,3.1,9.4,34.4,53.1,3.1,0,50,46.7,3.3,3.3,43.3,53.3,0
"283","Reilly Elem School","Chicago","ELEMENTARY","150162990252421",6,41.9,43.1,9,5.9,20.7,53.8,19.5,4.1,39.2,44.6,12.2,2,26,62,10,0.7,46.6,41.9,10.8,0,41.2,55.6,3.3
"284","Reinberg Elem School","Chicago","ELEMENTARY","150162990252422",12,28.6,46.6,12.8,2.2,15.3,56.9,25.5,2.1,33.8,46.9,17.2,1.3,18.8,67.8,12.1,1.7,34.5,48.3,15.5,0,20.7,64.5,14.9
"285","Revere Elem School","Chicago","ELEMENTARY","150162990252423",21.1,47.4,28.1,3.5,28.1,26.3,40.4,5.3,2.6,41,53.8,2.6,2.6,35.9,59,2.6,0,54.8,31,14.3,2.4,26.2,64.3,7.1
"286","Rogers Elem School","Chicago","ELEMENTARY","150162990252426",3.7,23.2,54.9,18.3,2.4,15.5,48.8,33.3,1.7,15.3,54.2,28.8,0,8.3,68.3,23.3,0,33.3,35,31.7,0,21.3,67.2,11.5
"287","Ross Elem School","Chicago","ELEMENTARY","150162990252427",12.2,48.8,26.8,12.2,12.2,36.6,39,12.2,4.9,53.7,34.1,7.3,7.3,46.3,43.9,2.4,5.7,48.6,40,5.7,0,80,20,0
"288","Ruggles Elem School","Chicago","ELEMENTARY","150162990252428",20.7,51.7,27.6,0,19,43.1,34.5,3.4,11.8,56.9,29.4,2,9.8,45.1,45.1,0,4.9,58.5,26.8,9.8,4.9,46.3,43.9,4.9
"289","Ryder Elem Math & Sci Spec School","Chicago","ELEMENTARY","150162990252429",27.3,18.2,50,4.5,18.2,31.8,36.4,13.6,6.9,62.1,24.1,6.9,6.9,20.7,62.1,10.3,9.1,39.4,45.5,6.1,6.1,39.4,54.5,0
"290","Ryerson Elem School","Chicago","ELEMENTARY","150162990252432",0,19.7,63.9,16.4,1.6,16.4,62.3,19.7,5,41.7,48.3,5,3.3,21.7,70,5,0,56.3,40.6,3.1,0,37.5,62.5,0
"291","Sauganash Elem School","Chicago","ELEMENTARY","150162990252434",3.6,18.2,45.5,32.7,1.8,5.4,37.5,55.4,0,8.8,49.1,42.1,0,1.8,70.2,28.1,0,18.5,29.6,51.9,0,7.4,68.5,24.1
"292","Sawyer Elem School","Chicago","ELEMENTARY","150162990252435",11.5,45,37,6.5,8.9,19.2,51.7,20.3,1.4,37.7,47.3,13.6,1.3,24.2,65.4,9.1,0.5,43.9,44.8,10.9,0.9,25.6,65.6,7.9
"293","Sayre Elem Language Academy","Chicago","ELEMENTARY","150162990252436",2.9,20.3,55.1,21.7,8.7,10.1,50.7,30.4,3,29.9,52.2,14.9,1.5,17.9,65.7,14.9,1.4,20.8,51.4,26.4,0,12.5,76.4,11.1
"294","Ashe Elem School","Chicago","ELEMENTARY","150162990252437",12.2,33.8,50,4.1,17.8,24.7,53.4,4.1,2.9,50.7,34.8,11.6,2.9,24.6,65.2,7.2,1.4,59.7,34.7,4.2,4.2,41.7,51.4,2.8
"295","Scammon Elem School","Chicago","ELEMENTARY","150162990252438",6.4,36.4,53.6,3.6,6.4,18.2,61.8,13.6,3.5,25.7,57.5,13.3,0,15.8,73.7,10.5,2.5,33.1,54.2,10.2,0,33.9,63.6,2.5
"296","Songhai Elem Learning Institute","Chicago","ELEMENTARY","150162990252439",7.5,25,57.5,10,7.5,20,57.5,15,14.3,45.7,37.1,2.9,13.9,38.9,47.2,0,2.6,56.4,38.5,2.6,0,46.2,48.7,5.1
"297","Schiller Elem School","Chicago","ELEMENTARY","150162990252440",44.1,50,0,5.9,54.3,25.7,17.1,2.9,9.1,72.7,18.2,0,10,60,30,0,10,85,0,5,10.5,73.7,15.8,0
"298","Schmid Elem School","Chicago","ELEMENTARY","150162990252442",0,28.6,52.4,19,0,0,61.9,38.1,4.5,54.5,27.3,13.6,0,18.2,68.2,13.6,0,55.2,44.8,0,0,58.6,41.4,0
"299","Schneider Elem School","Chicago","ELEMENTARY","150162990252443",0,50,44.4,5.6,5.6,44.4,44.4,5.6,6.7,60,26.7,6.7,20,13.3,66.7,0,0,70,30,0,20,50,30,0
"300","Schubert Elem School","Chicago","ELEMENTARY","150162990252444",9.5,41.1,42.7,6.6,9.1,21.9,53.7,15.3,1.1,44.4,48.7,5.8,4.7,20,66.8,8.4,1.8,43,44.2,10.9,1.8,24.1,68.7,5.4
"301","Seward Elem Communication Arts Ac","Chicago","ELEMENTARY","150162990252446",9,45,42,4,7.9,22.8,52.5,16.8,3.4,56.2,33.7,6.7,10,21.1,65.6,3.3,1.2,46.5,46.5,5.8,1.1,32.2,64.4,2.3
"302","Sexton Elem School","Chicago","ELEMENTARY","150162990252447",13.5,54.1,27,5.4,16.2,35.1,43.2,5.4,4,40,42,14,7.8,25.5,54.9,11.8,0,50,43.2,6.8,0,27.3,68.2,4.5
"303","Sheridan Elem Math & Science Acad","Chicago","ELEMENTARY","150162990252451",4.7,12.5,43.8,39.1,1.6,6.3,40.6,51.6,0,8.2,60.7,31.1,1.6,6.6,59,32.8,0,13.8,46.2,40,0,10.8,64.6,24.6
"304","Mireles Elem Academy","Chicago","ELEMENTARY","150162990252452",14.5,43.6,39.3,2.6,21.7,24.2,42.5,11.7,3.8,52.6,36.1,7.5,9,33.1,51.9,6,5.6,57.3,33.7,3.4,1.1,57.8,36.7,4.4
"305","Sherman Elem School","Chicago","ELEMENTARY","150162990252453",10.3,55.1,29.5,5.1,10.3,28.2,50,11.5,0,53.2,42.6,4.3,2.1,14.6,77.1,6.3,3.4,67.2,29.3,0,1.7,43.1,51.7,3.4
"306","Sherwood Elem School","Chicago","ELEMENTARY","150162990252454",6.3,14.6,54.2,25,8.3,10.4,58.3,22.9,2.1,44.7,53.2,0,2.1,44.7,51.1,2.1,0,47.6,38.1,14.3,4.8,23.8,66.7,4.8
"307","Shields Elem School","Chicago","ELEMENTARY","150162990252455",8.8,46,38.1,7.1,5.8,21.2,53.5,19.5,2.9,40.4,50.5,6.3,1.4,20.4,71.6,6.6,1,42.4,44.4,12.1,0,23.2,68.7,8.1
"308","Shoesmith Elem School","Chicago","ELEMENTARY","150162990252456",12.7,34.5,36.4,16.4,3.6,18.2,61.8,16.4,0,41.3,47.8,10.9,0,19.6,78.3,2.2,0,38.8,53.1,8.2,0,30.6,69.4,0
"309","Shoop Math-Sci Tech Elem Academy","Chicago","ELEMENTARY","150162990252457",14.6,41.6,41.6,2.2,10.2,25,53.4,11.4,6.6,41,34.4,18,1.6,27.9,54.1,16.4,0,33.3,56.7,10,2.2,23.6,65.2,9
