"","Name","City","Type","ID","Grade3.ELA.Level1","Grade3.ELA.Level2","Grade3.ELA.Level3","Grade3.ELA.Level4","Grade3.Math.Level1","Grade3.Math.Level2","Grade3.Math.Level3","Grade3.Math.Level4","Grade4.ELA.Level1","Grade4.ELA.Level2","Grade4.ELA.Level3","Grade4.ELA.Level4","Grade4.Math.Level1","Grade4.Math.Level2","Grade4.Math.Level3","Grade4.Math.Level4","Grade5.ELA.Level1","Grade5.ELA.Level2","Grade5.ELA.Level3","Grade5.ELA.Level4","Grade5.Math.Level1","Grade5.Math.Level2","Grade5.Math.Level3","Grade5.Math.Level4"
"11","Andersen, H C Elem Community Acad","Chicago","ELEMENTARY","150162990252056",12.8,28.2,43.6,15.4,7.7,12.8,51.3,28.2,0,55.2,41.4,3.4,3.4,24.1,72.4,0,2.1,40.4,51.1,6.4,2.1,36.2,59.6,2.1
"12","Armour Elem School","Chicago","ELEMENTARY","150162990252058",5.9,41.2,52.9,0,8.8,29.4,58.8,2.9,0,40.8,40.8,18.4,0,18.4,67.3,14.3,0,44.4,50,5.6,0,38.9,61.1,0
"13","Armstrong, G Elem Intl Studies","Chicago","ELEMENTARY","150162990252059",5,35.3,43.9,15.8,2.7,24.5,50.3,22.4,0.7,33.6,47.1,18.6,4.1,19.7,60.5,15.6,2,32.2,50.3,15.4,1.3,22.7,66.7,9.3
"14","Attucks Elem School","Chicago","ELEMENTARY","150162990252061",8.7,47.8,39.1,4.3,8.7,30.4,43.5,17.4,11.1,40.7,48.1,0,18.5,40.7,40.7,0,0,81.3,15.6,3.1,0,53.1,46.9,0
"15","Audubon Elem School","Chicago","ELEMENTARY","150162990252062",0,15.9,50,34.1,0,11.4,45.5,43.2,2.2,23.9,47.8,26.1,0,4.3,60.9,34.8,0,39.5,46.5,14,0,25.6,53.5,20.9
"16","Avalon Park Elem School","Chicago","ELEMENTARY","150162990252063",20.4,38.9,27.8,13,14.8,14.8,59.3,11.1,5.1,64.4,23.7,6.8,8.5,39,50.8,1.7,4.4,61.8,32.4,1.5,1.5,67.6,30.9,0
"17","Avondale Elem School","Chicago","ELEMENTARY","150162990252064",18.3,34.4,37.6,9.7,6.3,27.4,42.1,24.2,7.3,41.7,47.9,3.1,5.2,18.8,72.9,3.1,0,48.7,40.8,10.5,0,33.8,61,5.2
"18","Banneker Elem School","Chicago","ELEMENTARY","150162990252065",21.2,53.8,23.1,1.9,32.7,36.5,25,5.8,11.9,38.1,42.9,7.1,2.4,28.6,59.5,9.5,2.9,52.9,32.4,11.8,5.7,45.7,48.6,0
"19","Barnard Elem Comp Math & Sci Ctr","Chicago","ELEMENTARY","150162990252066",4.5,22.7,59.1,13.6,4.5,18.2,27.3,50,0,50,34.4,15.6,0,18.8,78.1,3.1,0,43.3,46.7,10,0,33.3,56.7,10
"20","Barry Elem School","Chicago","ELEMENTARY","150162990252067",10.7,54.4,32,2.9,6.7,26.7,52.4,14.3,7.8,62.1,22.3,7.8,6.5,35.5,54.2,3.7,0,42,51.9,6.2,0,30.2,62.8,7
"21","Barton Elem School","Chicago","ELEMENTARY","150162990252068",17.7,59.5,20.3,2.5,20.8,36.4,36.4,6.5,4.6,43.1,43.1,9.2,3.1,35.9,54.7,6.3,0,58,38.3,3.7,0,45.7,53.1,1.2
"22","Bass Elem School","Chicago","ELEMENTARY","150162990252069",6.7,45,43.3,5,21.7,30,46.7,1.7,2.3,41.9,51.2,4.7,7,34.9,53.5,4.7,2.3,70.5,25,2.3,0,56.8,43.2,0
"23","Bateman Elem School","Chicago","ELEMENTARY","150162990252070",7.2,41.4,37.8,13.5,8,16.1,52.7,23.2,0,32.9,44.7,22.4,3.5,17.4,51.2,27.9,1,44.8,42.7,11.5,0,18.6,75.3,6.2
"24","Nicholson Elem Math & Science","Chicago","ELEMENTARY","150162990252072",9.4,54.7,34,1.9,11.5,25,48.1,15.4,2.2,54.3,32.6,10.9,0,28.3,67.4,4.3,0,68.6,28.6,2.9,0,17.1,77.1,5.7
"25","Beaubien Elem School","Chicago","ELEMENTARY","150162990252078",4.7,17.1,35.7,42.6,3.1,7,32.6,57.4,1.7,18.6,36.4,43.2,2.5,10.2,49.2,38.1,0,14.8,38.5,46.7,0.8,12.2,49.6,37.4
"26","Beethoven Elem School","Chicago","ELEMENTARY","150162990252079",1.8,3.6,42.9,51.8,0,3.6,16.1,80.4,2.3,58.1,30.2,9.3,0,27.9,69.8,2.3,0,48.5,33.3,18.2,0,30.3,66.7,3
"27","Beidler Elem School","Chicago","ELEMENTARY","150162990252080",7.5,30.2,37.7,24.5,5.7,15.1,52.8,26.4,5.7,50.9,39.6,3.8,0,35.8,58.5,5.7,4.3,63,26.1,6.5,0,54.3,45.7,0
"28","Belding Elem School","Chicago","ELEMENTARY","150162990252081",1.9,17,49.1,32.1,0,13,46.3,40.7,0,15.8,57.9,26.3,1.8,10.5,50.9,36.8,0,34.9,34.9,30.2,2.1,18.8,70.8,8.3
"29","Bell Elem School","Chicago","ELEMENTARY","150162990252082",1,9.3,25.8,63.9,0,2.1,20.6,77.3,0,3.1,28.6,68.4,0,1,43.4,55.6,0,4,29,67,0,2,50,48
"30","Bennett Elem School","Chicago","ELEMENTARY","150162990252083",11,45.2,37,6.8,12.3,19.2,53.4,15.1,3.1,40,49.2,7.7,6.3,26.6,64.1,3.1,0,41.8,43.6,14.5,1.8,14.3,80.4,3.6
"31","Bethune Elem School","Chicago","ELEMENTARY","150162990252084",20.4,57.4,20.4,1.9,26.4,41.5,26.4,5.7,12,68,16,4,8,56,32,4,6.5,71,19.4,3.2,3.2,51.6,45.2,0
"32","Black Magnet Elem School","Chicago","ELEMENTARY","150162990252086",0,18.9,54.7,26.4,0,7.5,54.7,37.7,2,27.5,54.9,15.7,0,11.8,78.4,9.8,0,28.8,53.8,17.3,0,21.2,71.2,7.7
"33","Blaine Elem School","Chicago","ELEMENTARY","150162990252087",1.1,8,34.5,56.3,1.2,3.5,29.1,66.3,0,6.8,31.5,61.6,0,2.7,39.7,57.5,0,3.6,60.7,35.7,0,3.6,67.9,28.6
"34","Bond Elem School","Chicago","ELEMENTARY","150162990252088",4.9,51.2,43.9,0,7.3,14.6,63.4,14.6,3.6,57.1,39.3,0,3.6,35.7,60.7,0,6.1,48.5,42.4,3,0,42.4,54.5,3
"35","Boone Elem School","Chicago","ELEMENTARY","150162990252089",4.7,22.6,50.9,21.7,2.7,11.8,44.5,40.9,3.5,22.1,52.3,22.1,0,13.4,61.9,24.7,0.9,33.9,48.2,17,0,31,64.7,4.3
"36","Bradwell Comm Arts & Sci Elem Sch","Chicago","ELEMENTARY","150162990252090",22.5,47.1,29.4,1,28.4,31.4,38.2,2,10.1,57,29.1,3.8,16,36,46.7,1.3,0,67.1,27.8,5.1,4.1,55.4,40.5,0
"37","Haley Elem Academy","Chicago","ELEMENTARY","150162990252092",9.7,33.3,47.2,9.7,13.5,17.6,59.5,9.5,2.1,41.7,45.8,10.4,2.1,29.2,58.3,10.4,0,32.6,45.7,21.7,2.2,30.4,65.2,2.2
"38","Brennemann Elem School","Chicago","ELEMENTARY","150162990252093",8.3,25,58.3,8.3,2.8,19.4,66.7,11.1,3.6,46.4,42.9,7.1,3.3,30,63.3,3.3,0,32.4,52.9,14.7,0,16.7,72.2,11.1
"39","Brentano Elem Math & Science Acad","Chicago","ELEMENTARY","150162990252094",6.1,40.8,44.9,8.2,8.2,22.4,57.1,12.2,4.2,27.1,60.4,8.3,2.1,16.7,66.7,14.6,0,42.6,51.1,6.4,0,29.8,68.1,2.1
"40","Bridge Elem School","Chicago","ELEMENTARY","150162990252095",2.4,24.7,52.9,20,2.3,12.6,42.5,42.5,0,24.7,41.2,34.1,0,9,66.3,24.7,0,25.4,50.7,23.9,0,20.3,76.8,2.9
"41","Bright Elem School","Chicago","ELEMENTARY","150162990252096",8.7,39.1,47.8,4.3,4.4,28.9,53.3,13.3,8.8,35.3,38.2,17.6,5.9,26.5,61.8,5.9,0,33.3,59.3,7.4,3.7,29.6,66.7,0
"42","Brown, W Elem School","Chicago","ELEMENTARY","150162990252097",10,50,36.7,3.3,17.2,31,48.3,3.4,4.3,34.8,47.8,13,4.3,26.1,65.2,4.3,0,71.4,28.6,0,0,42.9,52.4,4.8
"43","Brownell Elem School","Chicago","ELEMENTARY","150162990252098",12.7,47.3,32.7,7.3,27.3,25.5,38.2,9.1,0,37.8,43.2,18.9,0,29.7,56.8,13.5,0,48,44,8,0,52,48,0
"44","Bouchet Elem Math & Science Acad","Chicago","ELEMENTARY","150162990252100",16.7,47.8,32.2,3.3,17.6,41.8,36.3,4.4,9.1,46.6,33,11.4,11.2,39.3,44.9,4.5,2.2,53.8,35.5,8.6,1.1,53.3,44.6,1.1
"45","Budlong Elem School","Chicago","ELEMENTARY","150162990252101",3.3,40.2,45.7,10.9,4.3,11.8,53.8,30.1,1.4,18.8,46.4,33.3,1.3,12.7,59.5,26.6,0,20,55.7,24.3,0,10.8,70.3,18.9
